sample_id	donor_id	tissue	ex5_6	ex6_7	log_ex5_6	log_ex6_7
"GTEX-14C39-3026-SM-5S2QE"	"GTEX-14C39"	"Brain - Cerebellum"	31	21	3.46573590279973	3.09104245335832
"GTEX-14C39-3126-SM-5ZZW6"	"GTEX-14C39"	"Brain - Cortex"	66	60	4.20469261939097	4.11087386417331
"GTEX-14C5O-0011-R10a-SM-6872F"	"GTEX-14C5O"	"Brain - Frontal Cortex (BA9)"	98	80	4.59511985013459	4.39444915467244
"GTEX-14C5O-0011-R11b-SM-6872H"	"GTEX-14C5O"	"Brain - Cerebellar Hemisphere"	19	13	2.99573227355399	2.63905732961526
"GTEX-14C5O-0011-R1b-SM-6AJBW"	"GTEX-14C5O"	"Brain - Hippocampus"	67	57	4.21950770517611	4.06044301054642
"GTEX-14C5O-0011-R2a-SM-5ZZV2"	"GTEX-14C5O"	"Brain - Substantia nigra"	53	37	3.98898404656427	3.63758615972639
"GTEX-14C5O-0011-R6a-SM-5YYB6"	"GTEX-14C5O"	"Brain - Nucleus accumbens (basal ganglia)"	107	77	4.68213122712422	4.35670882668959
"GTEX-14C5O-0011-R7b-SM-5YYAH"	"GTEX-14C5O"	"Brain - Putamen (basal ganglia)"	75	66	4.33073334028633	4.20469261939097
"GTEX-14C5O-0011-R8a-SM-5YYAG"	"GTEX-14C5O"	"Brain - Hypothalamus"	50	45	3.93182563272433	3.8286413964891
"GTEX-14C5O-2926-SM-5RQI1"	"GTEX-14C5O"	"Brain - Cerebellum"	22	21	3.13549421592915	3.09104245335832
"GTEX-14C5O-3026-SM-5YYB2"	"GTEX-14C5O"	"Brain - Cortex"	106	81	4.67282883446191	4.40671924726425
"GTEX-14DAQ-0011-R11a-SM-664NO"	"GTEX-14DAQ"	"Brain - Cerebellar Hemisphere"	21	29	3.09104245335832	3.40119738166216
"GTEX-14DAQ-0011-R3b-SM-5YYAJ"	"GTEX-14DAQ"	"Brain - Anterior cingulate cortex (BA24)"	40	34	3.71357206670431	3.55534806148941
