lipid	n_pcs	cumulative_ld_variance	lipid_total_estimate	lipid_total_p	lipid_instrument_F	lipid_to_splice_estimate	lipid_to_splice_se	lipid_to_splice_p	first_step_instrument_F	splice_direct_estimate	splice_direct_p	lipid_direct_estimate	lipid_direct_p	splice_conditional_F	lipid_conditional_F	attenuation_fraction	indirect_estimate	indirect_se	indirect_p	posterior_probability_indirect_positive	all_strength_F_ge_10	confirmatory_mediation	status	minimum_conditional_F
"LDL"	9	0.258235329852746	4.11575104505766	0.020930274692572	6.80972485509331	-13.3943730503481	15.9081873493186	0.399799237617037	6.75911708897746	0.0447208387079461	0.0663354138546208	2.30556891957033	0.154912203405488	4.06832185964249	3.06237849390328	0.439818177938888	-0.599007596778677	0.782659032277123	0.44406353336685	0.219806901792785	FALSE	FALSE	"completed"	3.06237849390328
"LDL"	10	0.274938506423136	3.32450232052167	0.0253532857643208	7.3440508162578	-13.0001325766505	12.4197907312059	0.29522542242644	6.98949216368783	0.0494789434863375	0.0210527933745844	2.10346188679639	0.162734798519581	4.03168409525116	2.93350836467801	0.367285180157035	-0.643232825074984	0.674810698309895	0.340486293577047	0.155031447991878	FALSE	FALSE	"completed"	2.93350836467801
"LDL"	11	0.290481815047783	3.19339793901316	0.0182373566392781	7.23019629371578	-12.490992295947	11.4319822636796	0.274553768128509	7.44670580212665	0.0503144215081375	0.00838001761675003	2.08638741524725	0.135245982191959	3.64093098351149	2.67946748931232	0.346655989922761	-0.628477051433176	0.622636704842042	0.312792415398208	0.140316510165798	FALSE	FALSE	"completed"	2.67946748931232
"LDL"	12	0.305135698924048	3.19887762685413	0.0107102740012471	7.07725380323746	-11.9454207352996	10.8775136772991	0.272127793492058	6.8805151541528	0.0561619793967303	0.000367037350971239	1.95359379292829	0.0652702969940889	4.74037023566677	3.53205883030379	0.389287737508884	-0.670878473221174	0.639265990529798	0.293970495208273	0.13619747488929	FALSE	FALSE	"completed"	3.53205883030379
"LDL"	13	0.319581706658549	3.73137263609944	0.00427235151689956	6.56894868360811	-11.5803247944301	10.4630630464491	0.268388401113762	6.57853329173832	0.0586503461082562	0.000117596591292791	1.85012775537309	0.0768351784909531	4.3860290213765	3.29644711229089	0.504169661996795	-0.679190057239345	0.638502486111546	0.287454005290149	0.134237218071971	FALSE	FALSE	"completed"	3.29644711229089
"LDL"	14	0.332687946843977	3.70161542861204	0.00435560785825326	6.10384067334461	-10.2029676283908	10.6806599132821	0.339438635760636	6.26193423849613	0.0454726445232267	0.000546321226172381	1.98977669458986	0.0351438966469484	6.44551138521919	4.01327795724212	0.462457207410131	-0.463955920047804	0.503880114656308	0.357172358456485	0.169899757227555	FALSE	FALSE	"completed"	4.01327795724212
"LDL"	15	0.345344527261232	3.7213042329101	0.00293422088305336	5.69812519884579	-9.60022017240255	10.3989505673948	0.355907547954252	5.86128200252777	0.0424915471452437	0.000955354291388605	1.57053514798533	0.104139290139112	6.42203774076309	3.81834319676128	0.577961099203879	-0.407928208060363	0.458798905985654	0.373937508177086	0.178261442221182	FALSE	FALSE	"completed"	3.81834319676128
"LDL"	20	0.40527701182958	3.62730403434625	0.00168080969361471	4.41652051056609	48.7840916392657	16.5702587554731	0.0032392104443491	4.6570298921363	0.0325571681330697	0.0103508802053239	1.81236102774731	0.0711847947663091	5.40976986322711	2.98635483501239	0.500355908799922	1.58827187371866	0.821458535773109	0.053177360619964	0.993221719014798	FALSE	FALSE	"completed"	2.98635483501239
"LDL"	25	0.458292210735739	3.25204752930464	0.000693537193612864	3.99229297159125	43.441304058169	14.6868192192434	0.00309799961368357	4.03601868167921	0.024680498051627	0.035102809149588	2.39302181029116	0.0121106194577053	5.28730481216065	2.59875794719999	0.264149189479145	1.07215302016778	0.624723683743274	0.0861247889071041	0.980953969862957	FALSE	FALSE	"completed"	2.59875794719999
"LDL"	30	0.503259228737905	2.98334945605945	0.000336770216882155	3.67744201947988	34.9139850596368	11.8045310644694	0.00309967157706856	3.70138500506895	0.0323296172036533	0.00156165745939902	1.71637726163801	0.0401696384011477	5.24164028378605	2.52179154297776	0.42468112203487	1.12875577203213	0.522492871291261	0.0307473176027923	0.997671755794386	FALSE	FALSE	"completed"	2.52179154297776
