analysis_block	source	doi	method	tested_direction	cell_type	gene	effect	effect_metric	p_value	adjusted_p_value	multiplicity_method	nominal_p_lt_0_05	adjusted_p_lt_0_05
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	L6_CT Neuron	TSPAN14	-0.0539540535734644	mean log2 fold change across datasets	0.980297151503191	0.980297151503191	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	L6_IT Neuron	TSPAN14	0.082870004704323	mean log2 fold change across datasets	0.694357673837248	0.981205775935794	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	Oligodendrocytes	TSPAN14	0.602750908555234	mean log2 fold change across datasets	0.0019108677060719	0.127892173913044	Benjamini-Hochberg FDR	True	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	Microglia	TSPAN14	0.231986159042052	mean log2 fold change across datasets	0.0119281757779094	0.312313425129087	Benjamini-Hochberg FDR	True	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	L6_CT Neuron	TSPAN14	0.0539540535734644	mean log2 fold change across datasets	0.0185422669561213	0.535393829401088	Benjamini-Hochberg FDR	True	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	VIP Neuron	TSPAN14	0.0015081537876241	mean log2 fold change across datasets	0.11483698440892	0.602151431528113	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	Endothelial_Cell	TSPAN14	0.282801765486332	mean log2 fold change across datasets	0.005735425300967	0.675846511627907	Benjamini-Hochberg FDR	True	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	Glutamatergic_Excitatory_Neuron	TSPAN14	-0.273117707197774	mean log2 fold change across datasets	0.137572153147819	0.795518876404494	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	Pvalb Neuron	TSPAN14	-0.149097490863906	mean log2 fold change across datasets	0.230992697848826	0.829253777148253	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	Sst_Chodl Neuron	TSPAN14	0.0216285816119781	mean log2 fold change across datasets	0.316720544701007	0.907760673639892	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	L6_IT_Car3 Neuron	TSPAN14	-0.129278421586885	mean log2 fold change across datasets	0.34249424379975	0.942817426340972	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	Astrocytes	TSPAN14	0.267861663058255	mean log2 fold change across datasets	0.313444536543648	0.956320906902087	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	L6b Neuron	TSPAN14	0.0936308368979095	mean log2 fold change across datasets	0.651723110321689	0.963719426353529	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	L56_ET Neuron	TSPAN14	-0.118706924568235	mean log2 fold change across datasets	0.942106703506348	0.966993684626011	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	Sncg Neuron	TSPAN14	-0.0872355037012044	mean log2 fold change across datasets	0.703634629300704	0.974904414183277	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	Sst Neuron	TSPAN14	-0.397192938562061	mean log2 fold change across datasets	0.763844352345241	0.975159200052628	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	Lamp5 Neuron	TSPAN14	-0.0315190577591644	mean log2 fold change across datasets	0.645825537793566	0.975477139661864	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	GABA_Inhibitory_Neuron	TSPAN14	-0.149720338905748	mean log2 fold change across datasets	0.800815972633379	0.975887198210644	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	Oligodendrocyte_Precursor_Cell	TSPAN14	0.367678312383024	mean log2 fold change across datasets	0.260540306558779	0.975889895401618	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	L5_IT Neuron	TSPAN14	-0.268123308428033	mean log2 fold change across datasets	0.923053680678903	0.978204131307151	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	L23_IT Neuron	TSPAN14	-0.338437014793619	mean log2 fold change across datasets	0.465347082428788	0.978449707256102	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	L56_NP Neuron	TSPAN14	-0.268959785848341	mean log2 fold change across datasets	0.547649694099072	0.980244852312348	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	upregulated	L6_IT Neuron	TSPAN14	-0.082870004704323	mean log2 fold change across datasets	0.154262351161108	0.981205775935794	Benjamini-Hochberg FDR	False	False
